노선,시간,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,감차대상시간,감차대상포화도,감차운행대수,감차후배차시간,감차후예상포화도
  1(광명),07시~08시,8.5,108,113.0,25.41,31.83,6.419999999999998,6.79,90.01,20시~21시,36.0,18.990000000000002,11.37,47.79
  1(광명),18시~19시,8.5,108,109.0,25.41,30.67,5.260000000000002,7.04,89.99,10시~11시,42.0,20.15,10.72,52.98
  11,07시~08시,32.5,65,135.0,4.0,5.2,1.2000000000000002,25.0,103.85,21시~22시,21.0,2.8,46.43,30.36
  11,08시~09시,32.5,65,101.0,4.0,4.47,0.46999999999999975,29.08,90.04,15시~16시,33.0,3.5300000000000002,36.83,37.54
  11,19시~20시,32.5,65,111.0,4.0,4.92,0.9199999999999999,26.42,89.94,12시~13시,31.0,3.08,42.21,39.77
  12,08시~09시,15.0,67,126.0,8.93,11.61,2.6799999999999997,11.54,97.11,13시~14시,39.0,6.25,21.44,56.0
  12,07시~08시,15.0,67,154.0,8.93,11.61,2.6799999999999997,11.54,118.65,12시~13시,32.0,6.25,21.44,45.2
  12,18시~19시,15.0,67,103.0,8.93,10.25,1.3200000000000003,13.07,90.0,10시~11시,42.0,7.609999999999999,17.61,49.28
  125,21시~22시,17.5,97,116.0,11.09,14.28,3.1899999999999995,13.59,89.99,21시~22시,116.0,7.9,24.56,162.66
  125,14시~15시,17.5,97,117.0,11.09,14.42,3.33,13.45,89.98,16시~17시,102.0,7.76,25.0,145.62
  125,20시~21시,17.5,97,139.0,11.09,14.42,3.33,13.45,107.14,15시~16시,97.0,7.76,25.0,138.53
  125,18시~19시,17.5,97,190.0,11.09,14.42,3.33,13.45,145.98,10시~11시,71.0,7.76,25.0,102.13
  125,19시~20시,17.5,97,146.0,11.09,14.42,3.33,13.45,112.52,13시~14시,97.0,7.76,25.0,138.53
  125,16시~17시,17.5,97,102.0,11.09,12.56,1.4700000000000006,15.45,89.97,14시~15시,117.0,9.62,20.17,134.88
  125,08시~09시,17.5,97,157.0,11.09,14.42,3.33,13.45,120.84,09시~10시,97.0,7.76,25.0,137.89
  125,17시~18시,17.5,97,166.0,11.09,14.42,3.33,13.45,127.95,12시~13시,88.0,7.76,25.0,125.97
  125,07시~08시,17.5,97,166.0,11.09,14.42,3.33,13.45,127.43,11시~12시,84.0,7.76,25.0,119.52
  2(광명),07시~08시,8.0,90,105.0,22.5,26.36,3.8599999999999994,6.83,90.0,11시~12시,41.0,18.64,9.66,49.62
  2(광명),18시~19시,8.0,90,102.0,22.5,25.53,3.030000000000001,7.05,89.99,12시~13시,45.0,19.47,9.24,52.52
  2(광명),08시~09시,8.0,90,111.0,22.5,27.69,5.190000000000001,6.5,90.01,10시~11시,39.0,17.31,10.4,50.4
  20,18시~19시,70.0,40,108.0,1.71,2.06,0.3500000000000001,58.25,89.81,11시~12시,4.0,1.3599999999999999,88.24,5.51
  20-1,08시~09시,15.0,78,133.0,10.4,13.52,3.119999999999999,11.54,102.26,13시~14시,32.0,7.280000000000001,21.43,45.67
  20-1,18시~19시,15.0,78,133.0,10.4,13.52,3.119999999999999,11.54,102.07,10시~11시,32.0,7.280000000000001,21.43,46.02
  20-1,06시~07시,15.0,78,114.0,10.4,13.14,2.74,11.87,89.99,09시~10시,47.0,7.66,20.37,63.32
  20-1,07시~08시,15.0,78,178.0,10.4,13.52,3.119999999999999,11.54,137.2,11시~12시,29.0,7.280000000000001,21.43,41.21
  20-1,17시~18시,15.0,78,143.0,10.4,13.52,3.119999999999999,11.54,109.65,12시~13시,31.0,7.280000000000001,21.43,44.99
  22,08시~09시,17.5,97,105.0,11.09,12.92,1.83,15.02,89.98,10시~11시,38.0,9.26,20.95,45.09
  22,07시~08시,17.5,97,100.0,11.09,12.28,1.1899999999999995,15.8,89.98,11시~12시,41.0,9.9,19.6,46.46
  22,18시~19시,17.5,97,124.0,11.09,14.42,3.33,13.45,95.53,09시~10시,37.0,7.76,25.0,52.19
  23,07시~08시,12.5,99,110.0,15.84,19.31,3.469999999999999,10.25,89.98,12시~13시,67.0,12.370000000000001,16.01,85.69
  23,18시~19시,12.5,99,157.0,15.84,20.59,4.75,9.62,120.57,11시~12시,56.99999999999999,11.09,17.85,81.83
  23,17시~18시,12.5,99,105.0,15.84,18.44,2.6000000000000014,10.74,90.02,09시~10시,78.0,13.239999999999998,14.95,93.84
  23,08시~09시,12.5,99,127.0,15.84,20.59,4.75,9.62,97.62,10시~11시,56.99999999999999,11.09,17.85,81.61
  23-2,08시~09시,8.5,69,104.0,16.24,18.83,2.59,7.33,90.02,10시~11시,37.0,13.649999999999999,10.11,43.77
  39,08시~09시,20.5,45,160.0,5.85,7.6,1.75,15.79,123.36,14시~15시,26.0,4.1,29.27,37.8
  39,06시~07시,20.5,45,106.0,5.85,6.89,1.04,17.42,89.99,11시~12시,42.0,4.81,24.95,50.94
  39,17시~18시,20.5,45,111.0,5.85,7.19,1.3400000000000007,16.69,90.06,10시~11시,40.0,4.509999999999999,26.61,52.11
  39,18시~19시,20.5,45,140.0,5.85,7.6,1.75,15.79,107.89,20시~21시,35.0,4.1,29.27,49.39
  39,07시~08시,20.5,45,154.0,5.85,7.6,1.75,15.79,118.75,12시~13시,31.0,4.1,29.27,44.51
  5602,08시~09시,11.5,92,101.0,16.0,17.94,1.9400000000000013,10.26,90.02,12시~13시,33.0,14.059999999999999,13.09,37.16
  5602,07시~08시,11.5,92,106.0,16.0,18.89,2.8900000000000006,9.74,89.99,11시~12시,31.0,13.11,14.04,37.76
  5602,18시~19시,11.5,92,104.0,16.0,18.53,2.530000000000001,9.93,89.99,10시~11시,33.0,13.469999999999999,13.66,38.98
  62,21시~22시,8.0,108,100.0,27.0,30.06,3.0599999999999987,7.19,89.99,11시~12시,48.0,23.94,9.02,53.68
  62,18시~19시,8.0,108,118.0,27.0,35.1,8.100000000000001,6.15,90.67,10시~11시,45.0,18.9,11.43,63.76
  66,18시~19시,12.0,74,114.0,12.33,15.56,3.2300000000000004,9.51,89.97,21시~22시,11.0,9.1,16.26,15.38
  66,17시~18시,12.0,74,103.0,12.33,14.06,1.7300000000000004,10.53,89.97,11시~12시,46.0,10.6,13.96,53.54
  66,08시~09시,12.0,74,113.0,12.33,15.47,3.1400000000000006,9.57,90.01,10시~11시,42.0,9.19,16.1,56.31
  76,21시~22시,90.0,86,103.0,1.91,2.19,0.28,78.54,90.18,12시~13시,17.0,1.63,105.52,19.94
  76,07시~08시,90.0,86,101.0,1.91,2.14,0.2300000000000002,80.37,89.95,11시~12시,22.0,1.6799999999999997,102.38,25.3
  98,18시~19시,27.5,104,102.0,7.56,8.58,1.0200000000000005,24.24,90.03,12시~13시,43.0,6.539999999999999,31.8,50.08
  98,08시~09시,27.5,104,106.0,7.56,8.92,1.3600000000000003,23.32,89.97,10시~11시,35.0,6.199999999999999,33.55,42.74
